fact_no	status	fact_text
160	Admitted	On 29 August 2023 at 6:57 pm Ms Reese sent the Appellant an email attaching HR Policy E12 - Individual Employee Grievances, and setting out how a grievance could be submitted. (Annexure A, Tab 3)
161	Admitted	"On 4 September 2023 the Appellant replied to Ms Reese stating: ""I have also spoken to Chloe. We are seemingly on the path to working in a beneficial way and hopefully will not need to go through this process."" (Annexure A, Tab 3)"
162	Admitted	"On 14 May 2024 at 12:08 pm Ms Taylor sent an email to the Appellant, copied to Ms Reese, with the subject ""Sick leave 14.05.24"", which states: ""in business hours you are to follow the correct process and speak to me directly if its regarding emergent leave, you can contact me either through switch or my office/mobile."" (Annexure A, Tab 10)"
163	Admitted	"The email of Ms Taylor of 15 April 2024 states that during office hours the Appellant was to contact her ""through switch/office or mobile"". (Annexure A, Tab 6)"
164	Admitted	"The email of Ms Taylor of 14 May 2024 at 12:08 pm states that the Appellant could contact her ""either through switch or my office/mobile"". (Annexure A, Tab 10)"
165	Admitted	Each of those two emails identifies the Switchboard as a means by which the Appellant could contact Ms Taylor. (Annexure A, Tab 10)
166	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that the Appellant was informed, at any time before 14 May 2024, that notifying his unavailability by telephoning the Switchboard did not comply with the process required of him. STRESSOR 1(g) - THE UNION DELEGATE, AND THE CONSULTATION ON ROSTERS
167	Admitted	"The Consultation outcome - Proposed Rosters for Switchboard Services, Logan Hospital, December 2024, states: ""In accordance with Clause 6.2 of the Hospital and Health Service General Employees (Queensland Health) Award - State 2015, agreement between MSH and the union, or MSH and the majority of employees affected must occur prior to changes to a shift roster."" (Annexure A, Tab 23)"
168	Admitted	"That document states: ""Agreement is defined as obtaining consent from the majority (50+1%) of affected employees, with all affected employees invited to cast their vote via an online Ballot Form."" (Annexure A, Tab 23)"
169	Admitted	"The Consultation Paper - Proposed Rosters for Switchboard Services, Logan Hospital states: ""On 22 July 2021, Metro South Health (MSH) management, affected staff and Together Queensland representatives commenced negotiating a new roster for Switchboard Services, Logan Hospital."" (Annexure A, Tab 22)"
170	Admitted	"That Consultation Paper states: ""In August 2024, Switchboard Services, Logan Hospital was realigned from Health Information Management Services (HIMS), MSH to Corporate Services, LBHS, MSH."" (Annexure A, Tab 22)"
171	Admitted	"That Consultation Paper states that the proposed roster ""is intended to introduce a more equitable roster for Switchboard Services, Logan Hospital staff"". (Annexure A, Tab 22)"
172	Admitted	"That Consultation Paper states that the proposed roster includes: ""Redistribution of nights for greater equity based on FTE."" (Annexure A, Tab 22)"
173	Admitted	"That Consultation Paper states that the proposed roster includes: ""Rotational roster for predictability and equity to all staff ensuring fair distribution of penalties."" (Annexure A, Tab 22)"
174	Admitted	"That Consultation Paper states that the proposed roster includes: ""An additional eight (8) hour shift (0700-1500) on Saturdays, to assist with call volume."" (Annexure A, Tab 22)"
175	Admitted	"That Consultation Paper states that the proposed roster includes: ""Extension of the current weekday (Mon-Fri) 0900-1400 five (5) hour shift to a 0700-1500 eight (8) hour shift."" (Annexure A, Tab 22)"
176	Admitted	The Consultation outcome document states that on 14 November 2024 a consultation document and proposed roster for Switchboard Services, Logan Hospital was released for consultation, and that affected staff, unions and stakeholders were invited to provide feedback by 8 December 2024. (Annexure A, Tab 23)
177	Admitted	"That document states that seventeen affected employees were invited to cast a vote, that seventeen votes were received, that fourteen ""Yes"" votes and three ""No"" votes were received, and that the proposed rosters were approved with a date effective of 20 January 2025. (Annexure A, Tab 23)"
178	Admitted	"On 3 November 2025 Mr Heath Moran, Organiser, Together Queensland, sent an email to Ms Carolyn Jeffrey, Ms Patricia Conaghan and the Appellant which states: ""Firstly, congratulations to you all on being endorsed to become workplace delegates!"" (Annexure A, Tab 24)"
179	Admitted	The Appellant was endorsed as a workplace delegate on or about 3 November 2025. (Annexure A, Tab 24)
180	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that agreement under clause 6.2 of the Hospital and Health Service General Employees (Queensland Health) Award - State 2015 was obtained before the rostering of the Appellant's shifts on 17 and 18 March 2024.
181	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that a ballot of affected employees was conducted before the change to after-hours on-call arrangements notified by Ms Taylor on 15 April 2024.
182	Admitted	"The Respondent's disclosure contains an email thread with the subject ""Corey Shepherd 388372 Pay issues"". (Annexure A, Tab 12)"
183	Admitted	The first message in that thread is dated 3 May 2024, is from PayrollMetroSouth, is addressed to Ms C Taylor, and is copied to the Appellant. (Annexure A, Tab 12)
184	Admitted	That message bears the signature block of Elaine Grant, Client Service Officer, Metro South Payroll Team, Payroll Transactional Services. (Annexure A, Tab 12)
185	Admitted	"That message states: ""Corey has wages top up on fortnight 05.02.24 for 0.95mins as he is under his contracted hours so it is toping up the missing wages from his RDO balance."" (Annexure A, Tab 12)"
186	Admitted	"That message states: ""This will be due to having a 7hr shift on 09.02.24 instead of an 8hr shift. AVAC PRN 15397775."" (Annexure A, Tab 12)"
187	Admitted	"That message states: ""The same has happened for the next fortnight 19.02.24 due to 28.02.24 shift AVAC PRN 15605601 has this shift as 7hrs topping up 0.95 for missing hour."" (Annexure A, Tab 12)"
188	Admitted	"That message states: ""Fortnight 18.03.24 is the opposite and has too many ordinary shifts for the fortnight resulting in wage reduction of 7.55hrs as one of the shifts needs to be overtime."" (Annexure A, Tab 12)"
189	Admitted	"That message states: ""Fortnight 01.04.24 is the same, 0.95hrs over contracted 76hrs needs to be overtime."" (Annexure A, Tab 12)"
190	Admitted	"That message states: ""Please submit an AVAC to correct these shifts for each fortnight so Cory is paid corrected and his RDO balance will then be amended."" (Annexure A, Tab 12)"
191	Admitted	The thread contains a message dated 10 May 2024 at 2:21 pm from the Appellant, addressed to PayrollMetroSouth and to Ms E Grant. (Annexure A, Tab 12)
192	Admitted	The thread contains a message dated 13 May 2024 at 8:21 am from PayrollMetroSouth, addressed to the Appellant. (Annexure A, Tab 12)
193	Admitted	"That message of 13 May 2024 states: ""I cannot see that any of the issues below have been corrected. Please speak to your Line Manager to have them corrected with an AVAC submitted through My HR as this will also be affecting your RDO balances as well as your pay."" (Annexure A, Tab 12)"
194	Admitted	"The thread contains a message dated 21 May 2024 at 12:33 pm from Ms C Taylor, addressed to the Appellant, with the subject ""RE: Corey Shepherd 388372 Pay issues"". (Annexure A, Tab 13)"
195	Admitted	"That message of 21 May 2024 states: ""Just letting you know that I am still I am waiting payroll confirmation about a few of these payroll issues and as soon as I do get that confirmation, I will submit an AVAC for next pay run. I will let you know PRN once it has been submitted."" (Annexure A, Tab 13)"
196	Admitted	"The Respondent's disclosure contains a message dated 28 May 2024 at 8:36 am from Ms C Taylor, addressed to the Appellant and copied to Ms T Reese, with the subject ""Validation of Claims older than 3 months - Please sign"". (Annexure A, Tab 14)"
197	Admitted	"That message of 28 May 2024 states: ""Please find attached Validation of claims older than 3 months, please sign and return to be as soon as possible so I can escalate for delegate approval."" (Annexure A, Tab 14)"
198	Admitted	The myHR submissions report produced by Metro South Health as Item 11 of the notice of non-party disclosure records seven submissions for the Appellant in the period 1 February 2024 to 31 May 2024. (Annexure A, Tab 15)
199	Admitted	"That report records five of those seven submissions as an ""Attendance Variation and Allowance Claim (AVAC)"". (Annexure A, Tab 15)"
200	Admitted	"That report records the initiator of each of those five Attendance Variation and Allowance Claims as ""Donovan-Taylor, Chloe"". (Annexure A, Tab 15)"
201	Admitted	That report records the initiator of no Attendance Variation and Allowance Claim in that period as the Appellant. (Annexure A, Tab 15)
202	Admitted	"That report records a submission with process number 16328886 as an Attendance Variation and Allowance Claim submitted on 15 May 2024, with a processing date of 16 May 2024, and a status of ""Completed"". (Annexure A, Tab 15)"
203	Admitted	"That report records a submission with process number 16450619 as an Attendance Variation and Allowance Claim submitted on 28 May 2024, with an effective date of 30 March 2024, a processing date of 30 May 2024, and a status of ""Part Completed"". (Annexure A, Tab 15)"
204	Admitted	"That report records the status of every other Attendance Variation and Allowance Claim in the period as ""Completed"". (Annexure A, Tab 15)"
205	Admitted	That report records the following process numbers with the following submission dates: 15325947, submitted 6 February 2024; 15480560, submitted 20 February 2024; 15848692, submitted 27 March 2024; 15849573, submitted 27 March 2024; 15969838, submitted 9 April 2024; 16328886, submitted 15 May 2024; and 16450619, submitted 28 May 2024. (Annexure A, Tab 15)
206	Admitted	In that report, process numbers increase as submission dates increase. (Annexure A, Tab 15)
207	Admitted	"The Respondent's amended statement of facts and contentions dated 13 May 2026 states at paragraph 20(c): ""any discrepancies or errors were remedied in a timely manner""."
208	Admitted	"That amended statement of facts and contentions states at paragraph 20(f): ""there are no outstanding underpayments for the appellant""."
209	Admitted	"That amended statement of facts and contentions states at paragraph 21(c): ""says Ms Taylor submitted the AVAC on 28 May 2024""."
210	Admitted	Neither AVAC PRN 15397775 nor AVAC PRN 15605601 appears in the myHR submissions report produced by Metro South Health as Item 11 of the notice of non-party disclosure. (Annexure A, Tab 15)
211	Admitted	"On 26 April 2024 at 1:52 pm Ms Reese sent an email to the Appellant with the subject ""Roster Concerns"", referring to a meeting on 16 April 2024 at which the Appellant raised a roster line ending with night shifts followed by three days off and then returning to night shifts. (Annexure A, Tab 7)"
212	Admitted	"That email states that Ms Taylor ""was working to fix this error and would get in touch with you about what alternative shifts she could offer"". (Annexure A, Tab 7)"
213	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that Ms Taylor got in touch with the Appellant about alternative shifts following the meeting of 16 April 2024.
214	Admitted	"On 1 May 2024 at 1:18 pm the Appellant sent an email to Ms Reese with the subject ""Re: Roster Concerns"" referring to section 4, clause 10.4.1 of the Operations Manual and stating: ""This section includes a toolkit required by management to manage fatigue and implement appropriate protocols and adhere to the workplace health and safety act."" (Annexure A, Tab 7)"
215	Admitted	"That email states: ""I forwarded the toolkit to Chloe last week for review and action but have yet to receive feedback"". (Annexure A, Tab 7)"
216	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that Ms Taylor reviewed the toolkit referred to in that email, or provided any feedback on it, at any time before 18 June 2024.
217	Admitted	"On 8 May 2024 at 9:08 am Ms Reese replied to the Appellant stating: ""Thanks for raising these observations and concerns. I am following up with regards to these with HR for further advice and I will get back to you asap with a response."" (Annexure A, Tab 7)"
218	Admitted	"On 10 May 2024 at 2:08 pm Ms Reese sent an email to Mr Mackenzie Pritchard of Human Resources forwarding the Appellant's email of 1 May 2024, which states: ""I think he is trying to raise that he has concerns over how his manager is rostering for the Switchboard team and how it is impacting on staff fatigue, or more specifically his fatigue."" (Annexure A, Tab 8)"
219	Admitted	"That email states: ""as per Cory's second extract detailing the Roster Risk assessment Matrix, Chloe and I have run thought this and we say at best there would be a rating of 11 which is moderate"". (Annexure A, Tab 8)"
220	Admitted	"That email states: ""I acknowledge there has been a few rostering errors made by Chloe with regards to Cory's line in past rosters"". (Annexure A, Tab 8)"
221	Admitted	"That email of Ms Reese to Mr Mackenzie Pritchard of 10 May 2024 states: ""Cory's roster will not be considered, however Cory is not yet aware of this as we cannot advise what is the roster we are planning on going with before we send out the implementation plan for this business case for change"". (Annexure A, Tab 8)"
222	Admitted	"On 20 May 2024 at 4:07 pm Ms Reese sent an email to LBH_HR which states: ""I am just following up on this query I raised a little while ago in relation to a email I had received from a staff member about our rostering practices. Thus if someone might be able to give me a call regarding these staff concerns, that would be great."" (Annexure A, Tab 8)"
223	Admitted	"That email of Ms Reese to LBH_HR attached the document ""qh-gdl-401-3.3"", being the Queensland Health Fatigue Risk Management Systems Implementation Guideline. (Annexure A, Tab 8A)"
224	Admitted	"By email dated 7 July 2026 Ms Lyndelle Forrest, Senior Consultant, Human Resources, Logan and Beaudesert Health Service, wrote to the Appellant stating that the rostering ""currently provides more than 10-hour breaks between shifts"". (Annexure A, Tab 21)"
225	Admitted	"That email states: ""acknowledge you also signed an 8 hour agreement on 17 June 2020, which allows you to work with only an 8 hour break, however this is only applied where staff initiated shift swaps have occurred."" (Annexure A, Tab 21)"
226	Admitted	"The Respondent's amended statement of facts and contentions dated 13 May 2026 states at paragraph 22(a): ""says the shift was separated by only a 7-hour break (rather than an 8-hour break) says that this was a result of human error and not intentional or repeated""."
227	Admitted	The shift commencing at 06:00 on 18 March 2024 fell on a Monday.
228	Not admitted	"A register titled ""2024 Emergency Code Register"" records, for 17 March 2024, eight entries, including ""MET CALL WARD 2H BED 7"" at 19:16, ""CODE BLUE WARD 2H BED 7"" at 19:20 and ""MET CALL WARD 2Q BED 5"" at 21:16. (Annexure A, Tab 31)"
229	Not admitted	"That register records, for 18 March 2024: ""CODE GREY QAS TRIAGE AIRLOCK"" at 8:48; ""MET CALL WARD 6A BED 8"" at 9:20; ""MET CALL WARD 3DR BED 14"" at 11:31; ""CANCELLED MET CALL WARD 3DR BED 14"" at 11:32; ""NEONATAL MET CALL THEATRE 2"" at 11:35; and ""NEONATAL MET CALL BIRTH SUITES 5"" at 13:09. (Annexure A, Tab 31)"
230	Not admitted	Six of the entries recorded in that register for 18 March 2024 bear times between 6:00 and 14:00.
231	Not admitted	"That register records, for 19 March 2024 at 11:34, ""MET CALL WARD 2I BED 20"" with the notation ""CALLED VIA SWITRCHBOARD"" [sic]. (Annexure A, Tab 31)"
232	Admitted	"That amended statement of facts and contentions states at paragraph 22(e): ""says in June 2020, the Appellant signed an agreement allowing an 8-hour break between shifts""."
233	Admitted	"That amended statement of facts and contentions states at paragraph 22(b): ""says that the appellant could refuse shifts at anytime""."
234	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that the consecutive shifts of 17 and 18 March 2024 arose from a staff initiated shift swap.
235	Admitted	"The Leave Takings Report produced by Metro South Hospital and Health Service in respect of 19 March 2024 records the Leave Category as ""Sick"", the Leave Type as ""Sick Leave"", the Time Code as ""SCK"", the Leave Taken as 7.60 hours, and the Leave Status as ""APPROVED"". (Annexure A, Tab 16)"
236	Admitted	"The Respondent's amended statement of facts and contentions dated 13 May 2026 states at paragraph 24(a): ""says that the appellant took leave on 19 March 2024 but says this was paid leave""."
237	Admitted	"That amended statement of facts and contentions states at paragraph 24(b): ""says that pursuant to clause 18.10 of the Award, the appellant is not entitled to fatigue leave, because he was not performing overtime""."
238	Admitted	"That amended statement of facts and contentions states at paragraph 27: ""The respondent contends that any management action involved in the causation of any injury to the Plaintiff [sic] was reasonable management action taken in a reasonable way pursuant to s 32(5) WCRA."""
239	Admitted	Review Decision 69983 records that the policy regarding fatigue leave following weekends and rostered days off is dated June 2020. (Annexure A, Tab 25)
240	Admitted	"That decision records: ""The policy notes that many problems can be overcome regarding fatigue leave by either not rostering the employee who is on call for the first shift of the following day and not rostering on call an officer who is rostered for the first shift on the following day."" (Annexure A, Tab 25)"
241	Admitted	"That decision records that section 23 of the Hospital and Health Service General Employees (Queensland Health) Award provides that ""where an employee is in receipt of the additional week's leave as prescribed in clause 19.2(a) and is rostered off on Easter Saturday, Easter Sunday, Show Day or Labour Day, such employee shall be paid an additional day's wage or be granted a day's holiday in lieu at a time to be mutually arranged, but this is not applicable where an employee is not ordinarily required to work on a Saturday or Sunday"". (Annexure A, Tab 25) MAY 2024"
242	Admitted	"Review Decision 69983 records: ""You emailed Ms Taylor on 8 April 2024 and requested a review of your payment for the pay period between 8 March 2024 and 31 March 2024."" (Annexure A, Tab 25)"
243	Admitted	"That decision records that in that email the Appellant ""noted the Hospital and Health Service General Employees (Queensland Health) Award stipulated in part 5 section 15 that unless there was a mutual agreement of regular rosters, employees were entitled to a minimum 10-hour break"". (Annexure A, Tab 25)"
244	Admitted	"That decision records that Ms Taylor replied on 9 April 2024 and ""added she also escalated your enquiry regarding fatigue leave to Human Resources to confirm policies around this"". (Annexure A, Tab 25)"
245	Admitted	"That decision records that in the same reply Ms Taylor ""proceeded to acknowledge the importance of communication and requested that you raise your concerns with her as soon as they arise so she could action them sooner for you"". (Annexure A, Tab 25)"
246	Admitted	"That decision records that on 24 April 2024 the Appellant emailed Ms Taylor and ""expressed your dissatisfaction with the process and that it had been more than 2 weeks without any response or overtime payment"". (Annexure A, Tab 25)"
247	Admitted	"That decision records: ""Ms Taylor responded to your email on 1 May 2024 via email and stated that after a consultation with payroll and Human Resources, your request for fatigue payment for 18 March 2024 would not be processed due to the existing 8-hour agreement signed by you on 17 June 2020."" (Annexure A, Tab 25)"
248	Admitted	"That decision records, of the same email of 1 May 2024: ""However, she noted you are able to terminate this agreement going forward."" (Annexure A, Tab 25)"
249	Admitted	The period between the Appellant's email of 8 April 2024 and Ms Taylor's response of 1 May 2024 is 23 days.
250	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that any response was made to the Appellant's enquiry regarding fatigue leave at any time between 9 April 2024 and 1 May 2024.
251	Admitted	"Review Decision 69983 records the Appellant's response of 9 August 2024 as stating that the break between the shifts of 17 and 18 March 2024 ""did not include travel time"", and: ""If you factored in travel time, your break between shifts would have been less than 5 hours."" (Annexure A, Tab 25)"
252	Admitted	"That decision records the employer's response of 6 September 2024 as confirming ""you did not formally rescind the 8-hour agreement signed by you on 17 June 2020 and the change to your employment contract and adjustments in your working hours did not automatically invalidate the agreement"". (Annexure A, Tab 25)"
253	Admitted	"That decision records: ""The employer did not mention your shift on 18 March 2024."" (Annexure A, Tab 25)"
254	Admitted	"That decision states: ""In considering the evidence, I find there was uncertainty between you and the employer regarding whether the 8-hour agreement continued to apply."" (Annexure A, Tab 25)"
255	Admitted	"That decision records that payroll was, as at 1 May 2024, ""still reviewing your entitlements regarding public holidays not required arising while you were a part-time employee"". (Annexure A, Tab 25)"
256	Admitted	"That decision records Ms Taylor as confirming ""that since your commencement of full-time employment, all payments for public holidays not required had been processed"". (Annexure A, Tab 25) STRESSOR 3(d) - THE RESPONDENT'S OWN REVIEW DECISION OF 24 OCTOBER 2024"
257	Admitted	"Review Decision 69983 dated 24 October 2024 records that in its response the employer included an extract of the Hospital and Health Services General Employees (Queensland Health) Award which ""stated that employees must be provided with a break of not less than 10 hours between the termination of one shift and the commencement of another shift, and 8 hours applied instead of 10 only in specific circumstances"". (Annexure A, Tab 25)"
258	Admitted	"That decision states: ""The break between the shift on 17 March 2024 and 18 March 2024 equated to 7 hours."" (Annexure A, Tab 25)"
259	Admitted	"That decision states: ""Even if you were allowed to leave early on 17 March 2024 as suggested by the employer, you left a maximum of 30 minutes early, which meant you still did not receive a minimum 8-hour break."" (Annexure A, Tab 25)"
260	Admitted	"That decision states: ""Based on this, I find the rostering of these two shifts amounted to unreasonable management action given that it was in direct contradiction to the award and the 8-hour agreement."" (Annexure A, Tab 25)"
261	Admitted	"That decision states, under the heading ""Conclusion"": ""you sustained a personal injury of a psychological nature"". (Annexure A, Tab 25)"
262	Admitted	"That decision states, under the heading ""Conclusion"": ""your injury arose out of employment, to the extent that it arose out of factors 2, 3 and 4, where employment was a significant contributing factor"". (Annexure A, Tab 25)"
263	Admitted	"By letter dated 5 June 2026, reference K-LM26/729, signed by Ms Noelle Cridland as Chief Executive of Metro South Hospital and Health Service and addressed to Commissioner Dwyer, Metro South Health stated in relation to Item 4: ""the requested documents do not exist. Mandatory Fatigue Risk Management System training only applies to health practitioners and clinical assistants. The Logan Hospital Switchboard staff are non-clinical staff, and therefore there is no mandatory requirement for them to complete Fatigue Risk Management System training."" (Annexure A, Tab 20)"
264	Admitted	"That letter states in relation to Item 5: ""The implementation of fatigue risk management assessment at Switchboard Logan Hospital occurred after 30 June 2024 in connection with an organisational change related to the reporting lines for Switchboard."" (Annexure A, Tab 20)"
265	Admitted	"That letter states in relation to Item 7: ""the requested documents do not exist. Mandatory Fatigue Risk Management System training only applies to health practitioners and clinical assistants."" (Annexure A, Tab 20)"
266	Admitted	"That letter states in relation to Item 3(c): ""there have been no 'consequential' changes to operating procedures over the period requested."" (Annexure A, Tab 20)"
267	Admitted	"That letter states in relation to Item 3(a): ""All employee complaints relating to Logan Hospital Switchboard operational errors are made directly to the Line Manager of Switch Board and managed solely via email or verbally with the complainant."" (Annexure A, Tab 20)"
268	Admitted	"That letter states in relation to Items 1 and 2: ""a spreadsheet of recorded MET calls is available for the period 17-18 March 2024."" (Annexure A, Tab 20)"
269	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that any fatigue risk assessment was conducted in respect of the Appellant's position at any time before 30 June 2024.
270	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that any fatigue risk management training was provided to the Appellant in respect of his position at any time before 30 June 2024.
271	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that fatigue risk management assessment was implemented at Logan Hospital Switchboard at any time before 30 June 2024.
272	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that any change was made to the operating procedures of Logan Hospital Switchboard as a consequence of any employee complaint over the period 1 December 2023 to 30 June 2024.
273	Admitted	The Respondent's amended List of Documents dated 14 August 2026 does not list any document recording consultation with Switchboard operators before the change communicated by the email of 15 April 2024.
274	Admitted	"The Respondent's amended List of Documents dated 14 August 2026 lists at item 12 an email from the Appellant to WorkCover Queensland dated 12 July 2024 with the attachment described as ""Event overview - undated""."
275	Admitted	"That amended List of Documents lists at item 14 an email from the Appellant to WorkCover Queensland dated 18 July 2024 with the attachment described as ""Witness statement - Carolyn Jeffrey""."
276	Admitted	That amended List of Documents lists at item 16 an email from Ms Carolyn Jeffrey to WorkCover Queensland dated 1 August 2024 described as a follow up statement.
277	Admitted	"That amended List of Documents lists at item 25 an email from the Appellant to WorkCover Queensland dated 29 August 2024 described as regarding the after hours on call change, with the attachment described as ""Email: After hours on call process""."
278	Admitted	"That amended List of Documents lists at item 26 an email from the Appellant to WorkCover Queensland dated 30 August 2024 described as regarding failure to consult, with the attachment described as ""Email: Task change switchboard - 19/04/2024""."
279	Admitted	"That amended List of Documents lists at item 27 an email from the Appellant to WorkCover Queensland dated 30 August 2024 described as regarding failure to consult, with the attachment described as ""Email: MASPER process - 09/05/2024""."
280	Admitted	The Appellant provided the document described at item 12 to WorkCover Queensland on 12 July 2024.
281	Admitted	"The Respondent's amended statement of facts and contentions dated 13 May 2026 states at paragraph 11: ""The respondent does not admit the allegations in stressor 1(a) of the appellants statement, because there are no particulars or details to respond to."""
282	Admitted	"On 11 August 2026 the Appellant served on the Respondent a bundle titled ""Stressor 1(a) - Particulars support bundle"", comprising 30 pages and six tabs, each stating a particular of Stressor 1(a) of the Amended Form 9A and enclosing the documents recording it."
283	Admitted	On 18 February 2026 the Respondent, by Ms Renee Matheson, Senior Appeals Officer, signed and served on the Appellant a response to the Appellant's notice to admit facts in this proceeding. (Annexure A, Tab 27)
284	Admitted	"In that response the Respondent admitted paragraph 1 of that notice, being: ""On 17-18 March 2024, the Appellant was rostered to finish work at 23:00 and commence his next shift at 06:00, resulting in a break of only 7 hours."" (Annexure A, Tabs 26-27)"
285	Admitted	"In that response the Respondent admitted paragraph 3 of that notice, being: ""The Employer's 'Fatigue Risk Management Policy' and the relevant Award require a minimum break of 10 hours between shifts, or 8 hours by written agreement."" (Annexure A, Tabs 26-27)"
286	Admitted	"In that response the Respondent denied paragraph 4 of that notice, on the stated ground: ""because in June 2020, the Appellant signed an agreement allowing an 8 hour break between shifts"". (Annexure A, Tab 27)"
287	Admitted	"In that response the Respondent admitted paragraph 5 of that notice, being that Ms Reese stated in an email dated 7 August 2023: ""I do realise in this instance there was a rostering error that was accidentally made by Chloe with regards to night shifts"". (Annexure A, Tabs 26-27)"
288	Admitted	"In that response the Respondent admitted ""that Ms Taylor removed a page from the workplace communications book"", and did not admit that the page contained the Appellant's handwriting ""because the respondent does not have a copy of the page"". (Annexure A, Tab 27)"
289	Admitted	"In that response the Respondent admitted paragraph 8 of that notice, being: ""Maintaining accurate contact details for medical staff is a critical function of the Switchboard to ensure effective clinical handover and patient safety."" (Annexure A, Tabs 26-27)"
290	Admitted	"In admitting that paragraph the Respondent added: ""and says that there was a procedure in place for this to occur"". (Annexure A, Tab 27)"
291	Admitted	"In that response the Respondent denied paragraph 9 of that notice on the stated ground: ""because there was already a procedure in place"". (Annexure A, Tab 27)"
292	Admitted	"In that response the Respondent admitted paragraph 14 of that notice, being that in an email to Ms Reese dated 6 June 2023 Ms Taylor stated: ""I did raise my voice and asked him to please stop talking over the top of me."" (Annexure A, Tabs 26-27)"
293	Admitted	"In that response the Respondent admitted that the Union Encouragement Policy QH-POL-248 ""says words to that effect"", the effect pleaded being that the Policy ""requires managers to take a 'positive, supportive role' to facilitate union membership and delegate elections"". (Annexure A, Tabs 26-27)"
294	Admitted	"In that response the Respondent admitted ""that the Appellant sent a text to Ms Taylor at 5.03pm that he was 'just putting his hand up'"", and said that this was not a formal notification. (Annexure A, Tab 27)"
295	Admitted	"In that response the Respondent admitted ""the contents of the Respondent's review unit decision"", and said that this fact is not relevant because the appeal is a hearing de novo. (Annexure A, Tab 27)"
296	Admitted	In that response the Respondent admitted paragraph 40 of that notice, being the instruction of Ms E Grant of Payroll of 3 May 2024. (Annexure A, Tab 27)
297	Admitted	"In that response the Respondent admitted ""the fact that Ms Taylor submitted the AVAC on 28 May 2024"". (Annexure A, Tab 27)"
298	Admitted	In that response the Respondent admitted paragraph 46 of that notice, being the email of Ms Taylor of 21 May 2024 stating that she was waiting for payroll confirmation and would submit an AVAC for the next pay run. (Annexure A, Tab 27)
299	Admitted	"In that response the Respondent denied paragraphs 42 to 45 of that notice on the stated grounds: ""because the comparator used does not represent a true comparator in the circumstances and because the roster was equitable"". (Annexure A, Tab 27)"
300	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that the Appellant was subject to any disciplinary process at any time before 18 June 2024.
301	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that the Appellant's work performance was the subject of any formal performance management process at any time before 18 June 2024.
302	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not describe any communication with the Appellant before 18 June 2024 as a warning, or as part of a disciplinary or performance management process.
